Legend,Temperature (°C),ρ (Ω·cm)
Cooling,-22.929292929292927,7.019444444444445
Cooling,-21.515151515151516,6.9783333333333335
Cooling,-20.1010101010101,6.752222222222223
Cooling,-18.686868686868685,6.587777777777777
Cooling,-17.272727272727273,6.546666666666667
Cooling,-15.858585858585858,6.546666666666667
Cooling,-14.444444444444445,6.464444444444444
Cooling,-13.030303030303031,6.320555555555556
Cooling,-11.616161616161616,6.320555555555556
Cooling,-10.2020202020202,6.176666666666667
Cooling,-8.787878787878789,6.012222222222222
Cooling,-7.373737373737374,5.919722222222222
Cooling,-5.9595959595959584,5.9094444444444445
Cooling,-4.545454545454547,5.703888888888889
Cooling,-3.1313131313131315,5.518888888888888
Cooling,-1.7171717171717162,5.477777777777778
Cooling,-0.30303030303030454,5.395555555555555
Cooling,1.1111111111111107,5.148888888888889
Cooling,2.525252525252526,4.922777777777778
Cooling,3.9393939393939377,4.881666666666666
Cooling,5.3535353535353565,4.696666666666666
Cooling,6.767676767676768,4.491111111111111
Cooling,8.18181818181818,4.326666666666667
Cooling,9.595959595959599,4.285555555555556
Cooling,11.01010101010101,4.03888888888889
Cooling,12.424242424242422,3.7922222222222226
Cooling,13.838383838383841,3.720277777777778
Cooling,15.252525252525253,3.586666666666667
Cooling,16.666666666666664,3.4222222222222225
Cooling,18.080808080808083,3.1755555555555555
Cooling,19.494949494949495,3.134444444444444
Cooling,20.909090909090907,2.9699999999999998
Cooling,22.323232323232325,2.867222222222222
Cooling,23.737373737373737,2.7027777777777784
Cooling,25.15151515151515,2.6925000000000003
Cooling,26.565656565656568,2.4972222222222227
Cooling,27.97979797979798,2.291666666666667
Cooling,29.39393939393939,2.2505555555555556
Cooling,30.80808080808081,2.209444444444445
Cooling,32.22222222222222,2.065555555555555
Cooling,33.63636363636363,1.9216666666666669
Cooling,35.05050505050505,1.9113888888888892
Cooling,36.464646464646464,1.818888888888889
Cooling,39.29292929292929,1.6544444444444437
Cooling,40.70707070707071,1.6544444444444437
Cooling,42.121212121212125,1.592777777777778
Cooling,43.535353535353536,1.5311111111111106
Cooling,44.94949494949495,1.572222222222221
Cooling,46.36363636363636,7.831388888888889
Cooling,47.77777777777777,7.8005555555555555
Cooling,49.1919191919192,1.5002777777777778
Cooling,50.60606060606061,1.4694444444444432
Cooling,52.02020202020202,6.649444444444445
Cooling,53.43434343434343,6.690555555555555
Cooling,54.848484848484844,1.3666666666666671
Cooling,56.262626262626256,1.3666666666666671
Cooling,57.67676767676768,5.580555555555556
Cooling,59.09090909090909,5.529166666666667
Cooling,60.505050505050505,5.4366666666666665
Cooling,61.91919191919192,1.2433333333333323
Cooling,63.33333333333333,5.477777777777778
Cooling,64.74747474747475,5.549722222222222
Cooling,66.16161616161617,6.156111111111111
Cooling,67.57575757575758,6.567222222222222
Cooling,68.98989898989899,6.546666666666667
Cooling,70.4040404040404,6.937222222222222
Cooling,71.81818181818181,6.998888888888889
Cooling,73.23232323232324,7.697777777777778
Cooling,74.64646464646465,7.78
Cooling,76.06060606060606,8.437777777777777
Cooling,78.88888888888889,9.013333333333334
Cooling,80.3030303030303,9.280555555555555
Cooling,81.71717171717172,9.342222222222222
Cooling,83.13131313131314,9.383333333333333
Cooling,84.54545454545455,9.424444444444445
Cooling,85.95959595959596,9.445
Cooling,87.37373737373737,9.48611111111111
Cooling,88.78787878787878,9.506666666666666
Cooling,90.20202020202021,9.588888888888889
Cooling,91.61616161616162,9.568333333333333
Cooling,93.03030303030303,0.9555555555555557
Cooling,94.44444444444444,9.63
Cooling,95.85858585858585,9.63
Cooling,97.27272727272727,9.63
Cooling,100.1010101010101,9.5375
Cooling,101.5151515151515,0.8733333333333331
Cooling,104.34343434343435,9.552916666666667
