"24.16092355239046,",32.51915138
"27.123359876659492,",30.53446236
"31.91270018017935,",27.60405291
"34.67929471020611,",23.8472928
"36.756203682451186,",22.24670941
"39.63271433920707,",20.56758284
"41.91362250414268,",18.55028555
"44.256329385472306,",17.21954417
"47.14145508999884,",15.85276668
"51.84331211252232,",11.97973161
"54.56488840130948,",10.23670906
"55.429966054664405,",9.626774572
"55.95452049641704,",9.321532185
"56.23038669059423,",9.084123953
"56.23038669059423,",9.084123953
"57.913315798807325,",8.2671616
"62.7293924574775,",4.989164953
"64.94244005973127,",2.996164734
"67.13205119931722,",1.086335588
"68.35109250226893,",0.691768552
"69.08177380461444,",0.530916493
"70.19441565457754,",0.316624284
"72.63383909270621,",0.240219293
"73.16920851055119,",0.180714324
"75.53118483703419,",0.159708664
"79.81345772027811,",0.138408623
"86.14534922406862,",0.110131308
"82.39023215767304,",0.12228474
"90.76513446810962,",0.107048636
"94.52837681721155,",0.102300306
