Legend,Temperature (°C),Resistivity (Ω·cm)
Heating,20.0,0.028514397138393446
Heating,20.626262626262626,0.015585902410075249
Heating,21.252525252525253,0.020263044937123637
Heating,21.87878787878788,0.01922561190240846
Heating,23.757575757575758,0.008077469391102697
Heating,25.636363636363637,7.295461698583146
Heating,26.262626262626263,0.25251225114063436
Heating,26.88888888888889,0.04147375462032128
Heating,27.515151515151516,6.567554856549063
Heating,28.141414141414142,0.01922561190240846
Heating,29.393939393939394,5.912275134301371
Heating,30.02020202020202,0.17944153149033412
Heating,30.646464646464647,5.322376139549369
Heating,31.272727272727273,5.322376139549369
Heating,31.8989898989899,5.464089843924334
Heating,33.151515151515156,0.002411631702433167
Heating,34.4040404040404,0.002411631702433167
Heating,35.03030303030303,0.19416000376913833
Heating,35.65656565656566,0.19416000376913833
Heating,36.282828282828284,0.002411631702433167
Heating,36.90909090909091,0.19674485803856162
Heating,37.535353535353536,0.0020197031623877476
Heating,38.161616161616166,0.19416000376913833
Heating,38.78787878787879,0.18918967471554446
Heating,40.04040404040404,4.20141082224322
Heating,40.66666666666667,0.18792249709312955
Heating,41.292929292929294,4.3132776793781185
Heating,41.91919191919192,4.039375550664625
Heating,42.54545454545455,3.986305817396713
Heating,43.17171717171718,3.8829191271535235
Heating,43.7979797979798,3.7822138186730663
Heating,44.42424242424242,3.684120349075686
Heating,45.05050505050505,3.49549972636783
Heating,45.67676767676768,3.49549972636783
Heating,46.303030303030305,3.404842319733847
Heating,47.55555555555556,3.2305202515822504
Heating,48.18181818181819,3.2305202515822504
Heating,48.80808080808081,3.146735210525666
Heating,49.43434343434343,2.985627782247705
Heating,50.06060606060606,2.90819414096569
Heating,50.68686868686869,0.11784921016059458
Heating,51.313131313131315,0.004243016790431785
Heating,51.93939393939394,2.483989673333327
Heating,52.56565656565657,2.483989673333327
Heating,53.1919191919192,0.21853196889493515
Heating,53.81818181818182,2.3568136761915497
Heating,54.44444444444444,2.483989673333327
Heating,55.07070707070707,2.4195662490683256
Heating,55.6969696969697,2.4195662490683256
Heating,56.323232323232325,2.3568136761915497
Heating,56.94949494949495,2.236148871275181
Heating,57.57575757575758,2.236148871275181
Heating,58.20202020202021,2.121661896745911
Heating,58.82828282828283,2.0130364583179428
Heating,59.45454545454545,1.9608274241148722
Heating,60.08080808080808,1.8604364339421484
Heating,60.70707070707071,1.6748108401981658
Heating,61.333333333333336,1.468603037951002
Heating,62.58585858585859,1.0999412067344483
Heating,63.21212121212122,0.7036568389218835
Heating,63.83838383838384,0.4870675072690132
Heating,64.46464646464646,0.3115879107065929
Heating,65.0909090909091,0.20463706962030606
Heating,65.71717171717172,0.10891554566144199
Heating,66.34343434343435,0.05253016934033671
Heating,66.96969696969697,0.03565073381924162
Heating,67.5959595959596,0.01800474544832744
Heating,68.22222222222223,0.009967206739479798
Heating,68.84848484848484,0.005892886856426745
Heating,69.47474747474747,0.005167336711664619
Heating,70.1010101010101,0.004187633026278599
Heating,70.72727272727273,0.003393676731611723
Heating,71.35353535353536,0.0032625116298374422
Heating,71.97979797979798,0.0030954766481040273
Heating,73.85858585858585,0.0025417657344926174
Heating,74.48484848484848,0.0024758438612846154
Heating,75.11111111111111,0.002349084915703456
Heating,75.73737373737374,0.0024758438612846154
Heating,76.36363636363637,6.567554856549063
Heating,76.98989898989899,8.82675551417658
Heating,77.61616161616162,5.684257178532313
Heating,78.24242424242425,6.149970584216697
Heating,78.86868686868686,6.397222275278964
Heating,79.4949494949495,6.567554856549063
Heating,81.37373737373738,6.150501425407391
