Legend,Temperature (°C),Resistivity (Ω·cm)
Cooling,20.0,0.9639750346740638
Cooling,20.626262626262626,0.9612038834951456
Cooling,21.252525252525253,0.9612038834951456
Cooling,21.87878787878788,0.9584327323162275
Cooling,22.505050505050505,0.9556615811373093
Cooling,23.13131313131313,0.9556615811373093
Cooling,23.757575757575758,0.950119278779473
Cooling,24.383838383838384,0.9473481276005548
Cooling,25.01010101010101,0.9445769764216366
Cooling,25.636363636363637,0.9418058252427184
Cooling,26.262626262626263,0.9362635228848821
Cooling,26.88888888888889,0.9362635228848821
Cooling,27.515151515151516,0.9307212205270458
Cooling,28.141414141414142,0.9307212205270458
Cooling,28.767676767676768,0.9279500693481276
Cooling,29.393939393939394,0.9251789181692094
Cooling,30.02020202020202,0.9168654646324549
Cooling,30.646464646464647,0.9154798890429958
Cooling,31.272727272727273,0.9168654646324549
Cooling,31.8989898989899,0.9113231622746186
Cooling,32.525252525252526,0.9057808599167823
Cooling,33.151515151515156,0.9057808599167823
Cooling,33.77777777777778,0.9002385575589459
Cooling,34.4040404040404,0.5053495145631068
Cooling,35.03030303030303,0.8905395284327323
Cooling,35.65656565656566,0.8905395284327323
Cooling,36.282828282828284,0.8780693481276005
Cooling,36.90909090909091,0.8669847434119279
Cooling,37.535353535353536,0.8655991678224688
Cooling,38.161616161616166,0.8614424410540915
Cooling,38.78787878787879,0.8475866851595006
Cooling,39.41414141414141,0.8475866851595006
Cooling,40.04040404040404,0.8392732316227461
Cooling,40.66666666666667,0.8281886269070735
Cooling,41.292929292929294,0.8143328710124826
Cooling,41.91919191919192,0.8115617198335645
Cooling,42.54545454545455,0.7838502080443828
Cooling,43.17171717171718,0.7672233009708738
Cooling,43.7979797979798,0.7644521497919556
Cooling,44.42424242424242,0.7311983356449376
Cooling,45.05050505050505,0.704872399445215
Cooling,45.67676767676768,0.6979445214979196
Cooling,46.303030303030305,0.6840887656033288
Cooling,46.92929292929293,0.6432142857142857
Cooling,47.55555555555556,0.6175811373092926
Cooling,48.18181818181819,0.605110957004161
Cooling,48.80808080808081,0.5593869625520111
Cooling,49.43434343434343,0.5178196948682385
Cooling,50.06060606060606,0.509506241331484
Cooling,50.68686868686869,0.4817947295423024
Cooling,51.313131313131315,0.4485409153952844
Cooling,51.93939393939394,0.4305284327323162
Cooling,52.56565656565657,0.42914285714285716
Cooling,53.1919191919192,0.400738557558946
Cooling,53.81818181818182,0.3806477115117892
Cooling,54.44444444444444,0.3737198335644937
Cooling,55.07070707070707,0.36263522884882105
Cooling,55.6969696969697,0.35432177531206654
Cooling,56.323232323232325,0.3515506241331484
Cooling,57.57575757575758,0.3404660194174757
Cooling,58.20202020202021,0.3349237170596393
Cooling,58.82828282828283,0.3349237170596393
Cooling,59.45454545454545,0.32938141470180304
Cooling,60.08080808080808,0.3266102635228848
Cooling,60.70707070707071,0.3266102635228848
Cooling,61.333333333333336,0.32106796116504854
Cooling,62.58585858585859,0.3182968099861303
Cooling,63.21212121212122,0.3155256588072122
Cooling,63.83838383838384,0.31275450762829404
Cooling,64.46464646464646,0.31275450762829404
Cooling,65.0909090909091,0.3099833564493758
Cooling,65.71717171717172,0.30721220527045767
Cooling,66.34343434343435,0.30721220527045767
Cooling,66.96969696969697,0.30721220527045767
Cooling,67.5959595959596,0.30444105409153954
Cooling,68.22222222222223,0.3016699029126213
Cooling,68.84848484848484,0.3016699029126213
Cooling,69.47474747474747,0.29889875173370317
Cooling,70.72727272727273,0.2975131761442441
Cooling,71.35353535353536,0.29612760055478504
Cooling,71.97979797979798,0.29058529819694867
Cooling,72.60606060606061,0.29058529819694867
Cooling,73.23232323232324,0.29058529819694867
Cooling,73.85858585858585,0.2850429958391123
Cooling,74.48484848484848,0.28642857142857137
Cooling,75.11111111111111,0.28781414701803054
Cooling,75.73737373737374,0.2850429958391123
Cooling,76.98989898989899,0.28227184466019417
Cooling,77.61616161616162,0.28227184466019417
Cooling,78.24242424242425,0.27811511789181687
Cooling,78.86868686868686,0.2767295423023578
Cooling,79.4949494949495,0.2767295423023578
Cooling,80.12121212121212,0.27118723994452154
Cooling,80.74747474747475,0.27395839112343967
Cooling,81.37373737373738,0.27395839112343967
