dopant,concentration,Tc,Th,Tmit,Hysteresis_Width,Resistance Ratio,Distance,Selected,Within_Tmit,Within_Hyst
Sc,0.20%,43.186372745490985,46.7935871743487,44.98997995991984,3.6072144288577164,47.041191651795316,2789691.4752937043,True,False,False
Sc,0.40%,44.08817635270541,47.515030060120246,45.80160320641283,3.4268537074148355,44.34422440369717,3485070.013241133,True,False,False
Sc,0.60%,43.72745490981964,47.515030060120246,45.62124248496994,3.7875751503006043,40.38963031321237,2218858.738811201,True,False,False
Sc,0.80%,43.186372745490985,46.61322645290581,44.8997995991984,3.4268537074148284,42.28108144033027,3485096.4348218,True,False,False
Sc,1.00%,41.38276553106213,44.629258517034074,43.006012024048104,3.2464929859719476,39.606594555218706,4327766.529513989,True,False,False
Sc,1.20%,39.939879759519044,44.08817635270541,42.014028056112224,4.148296593186366,44.88828959273857,1375183.3994543217,True,False,False
Sc,1.40%,39.939879759519044,43.90781563126253,41.92384769539079,3.967935871743485,45.33339582346149,1753107.5168366048,True,False,False
Sc,1.60%,40.66132264529058,44.2685370741483,42.46492985971944,3.6072144288577164,41.386731890786464,2789773.653276925,True,False,False
Sc,1.80%,39.939879759519044,44.08817635270541,42.014028056112224,4.148296593186366,43.8626796943308,1375183.3994543217,True,False,False
Sc,2.00%,39.57915831663327,41.92384769539078,40.75150300601203,2.344689378757515,53.60829962957084,11795495.24884941,True,False,False
Sc,2.20%,38.31663326653307,41.02204408817636,39.669338677354716,2.705410821643291,46.18403987089308,8017317.725690478,True,False,False
Sc,2.40%,39.21843687374749,41.20240480961924,40.210420841683366,1.9839679358717461,46.26002645470892,17048475.197685327,True,False,False
Sc,2.60%,39.21843687374749,41.20240480961924,40.210420841683366,1.9839679358717461,52.25506759059601,17048475.197685327,True,False,False
Sc,2.80%,39.21843687374749,41.20240480961924,40.210420841683366,1.9839679358717461,53.75407105576904,17048475.197685327,True,False,False
Sc,3.00%,41.02204408817636,43.90781563126253,42.46492985971945,2.8857715430861717,48.64679185215048,6562099.474720813,True,False,False
Sc,3.20%,39.939879759519044,42.28456913827655,41.1122244488978,2.344689378757508,52.09275908012839,11795481.492278239,True,False,False
Sc,3.40%,40.66132264529058,43.36673346693387,42.014028056112224,2.705410821643291,49.860793633300865,8017227.885087429,True,False,False
Sc,3.60%,40.84168336673347,44.2685370741483,42.55511022044088,3.4268537074148284,43.325130632586166,3485172.7429490765,True,False,False
Sc,3.80%,40.30060120240481,44.08817635270541,42.19438877755511,3.787575150300597,49.35783783200807,2218969.0299345497,True,False,False
Sc,4.00%,40.84168336673347,44.448897795591186,42.64529058116233,3.6072144288577164,51.38808430794352,2789767.3605311126,True,False,False
Sc,4.20%,40.4809619238477,43.90781563126253,42.19438877755512,3.4268537074148284,57.0344094041537,3485185.45856066,True,False,False
Sc,4.40%,39.939879759519044,43.90781563126253,41.92384769539079,3.967935871743485,54.55296853516947,1753107.5168366048,True,False,False
Sc,4.60%,40.66132264529058,43.90781563126253,42.28456913827655,3.2464929859719476,52.6464629025098,4327791.570377278,True,False,False
Sc,4.80%,39.939879759519044,43.90781563126253,41.92384769539079,3.967935871743485,53.69580287638661,1753107.5168366048,True,False,False
Sc,5.00%,39.03807615230461,42.10420841683367,40.57114228456914,3.0661322645290596,55.843316374480835,5343614.327391499,True,False,False
Ti,0.20%,40.120240480961925,41.743486973947896,40.93186372745491,1.6232464929859702,68.56282858771104,24244453.686751965,True,False,False
Ti,0.40%,40.4809619238477,41.92384769539078,41.20240480961924,1.4428857715430823,56.99361778184791,28749081.436366286,True,False,False
Ti,0.60%,39.939879759519044,41.92384769539078,40.93186372745491,1.983967935871739,50.41822489035331,17048447.164063096,True,False,False
Ti,0.80%,40.120240480961925,41.743486973947896,40.93186372745491,1.6232464929859702,65.64975036897745,24244453.686751965,True,False,False
Ti,1.00%,39.39879759519039,41.02204408817636,40.21042084168337,1.6232464929859702,63.90663187491665,24244481.72037432,True,False,False
Ti,1.20%,38.31663326653307,40.120240480961925,39.21843687374749,1.8036072144288582,32.09000791475074,20370013.031354375,True,False,False
